id,name,result,wpca:d1,wpca:d2,color,r,opacity,party
mp_MiodragNikolic,"Nikolic, Miodrag (Non-affiliated)",1,-0.055660256,0.90331526,grey,0.05,0.7,Non-affiliated
mp_MiraPetrovic,"Petrovic, Mira (PUPS)",1,0.701348717,0.403506368,darkred,0.05,0.7,PUPS
mp_MirjanaAndric,"Andric, Mirjana (SNS)",1,0.970235531,0.218050592,blue,0.05,0.7,SNS
mp_MirjanaDjokovic,"Djokovic, Mirjana (SNS)",1,1.220539006,-0.048396829,blue,0.05,0.7,SNS
mp_MirjanaDragash,"Dragas, Mirjana (SPS)",1,1.146674717,0.01378321,red,0.05,0.7,SPS
mp_MirjanaMarjanovic,"Marjanovic, Mirjana (SNS)",1,1.244539218,-0.057977941,blue,0.05,0.7,SNS
mp_MirkoChikiriz,"Cikiriz, Mirko (SPO)",1,0.617819602,0.164931106,darkkhakki,0.05,0.7,SPO
mp_MirkoKrlic,"Krlic, Mirko (SNS)",1,0.790915097,0.251844112,blue,0.05,0.7,SNS
mp_MiroljubStankovic,"Stankovic, Miroljub (PUPS)",1,0.140801031,-0.069128444,darkred,0.05,0.7,PUPS
mp_MiroslavMarkicevic,"Markicevic, Miroslav (NS)",1,-0.248196199,0.357969142,violet,0.05,0.7,NS
mp_MladenGrujic,"Grujic, Mladen (NS)",1,0.886245828,0.187017419,violet,0.05,0.7,NS
mp_MladenLukic,"Lukic, Mladen (SNS)",1,1.094049278,0.036218377,blue,0.05,0.7,SNS
mp_MomirStojanovic,"Stojanovic, Momir (SNS)",1,0.040241113,-0.990218844,blue,0.05,0.7,SNS
mp_MomoCholakovic,"Colakovic, Momo (PUPS)",1,0.845871862,-0.102205604,darkred,0.05,0.7,PUPS
mp_MuamerDrBachevats,"Bacevac, Muamer (SDPS)",1,-0.387724411,-0.882139041,orange,0.05,0.7,SDPS
mp_MujoMukovic,"Mukovic, Mujo (BNS)",1,0.984595877,-0.12761002,darkgrey,0.05,0.7,BNS
mp_NadaLazic,"Lazic, Nada (LSV)",1,-9.792220405,0.681847432,khakki,0.05,0.7,LSV
mp_NaditsaNikolicTanasijevic,"Nikolic Tanasijevic, Nadica (SNS)",1,1.070180759,0.10459305,blue,0.05,0.7,SNS
mp_NebojshaBeric,"Beric, Nebojsa (SNS)",1,1.25141917,-0.07690418,blue,0.05,0.7,SNS
mp_NebojshaProfDrPetrovic,"Petrovic, Nebojsa (PS)",1,0.620452729,-0.54059628,pink,0.05,0.7,PS
mp_NebojshaTatomir,"Tatomir, Nebojsa (SNS)",1,0.619675136,-0.464304714,blue,0.05,0.7,SNS
mp_NegjoJovanovic,"Jovanovic, Nedjo (SPS)",1,1.007128234,0.101150106,red,0.05,0.7,SPS
mp_NenadMilosavljevic,"Milosavljevic, Nenad (SPS)",1,1.010359808,0.102464512,red,0.05,0.7,SPS
mp_NenadMitrovic,"Mitrovic, Nenad (SNS)",1,0.615979523,-0.484691759,blue,0.05,0.7,SNS
mp_NenadNikolic,"Nikolic, Nenad (SNS)",1,0.841213605,0.085663176,blue,0.05,0.7,SNS
mp_NevenaStojanovic,"Stojanovic, Nevena (JS)",1,1.257542327,-0.075997125,darkviolet,0.05,0.7,JS
mp_NevenkaMiloshevic,"Milosevic, Nevenka (SNS)",1,1.015667933,-0.315082428,blue,0.05,0.7,SNS
mp_NikolaJolovic,"Jolovic, Nikola (SNS)",1,0.117078209,-0.05566326,blue,0.05,0.7,SNS
mp_NinoslavDrGiric,"Giric, Ninoslav (SNS)",1,1.257542327,-0.075997125,blue,0.05,0.7,SNS
mp_NinoslavDrStojadinovic,"Stojadinovic, Ninoslav (SDS)",1,-6.386807322,0.321776168,cyan,0.05,0.7,SDS
mp_NovitsaTonchev,"Toncev, Novica (SPS)",1,-0.257525997,-0.139880114,red,0.05,0.7,SPS
mp_ObradDrIsailovic,"Isailovic, Obrad (SNS)",1,-0.14024165,-0.531329375,blue,0.05,0.7,SNS
mp_OlenaPapuga,"Papuga, Olena (LSV)",1,-4.882456086,5.123037177,khakki,0.05,0.7,LSV
mp_OlgitsaBatic,"Batic, Olgica (DHSS)",1,-0.297257209,0.189567296,darkgrey,0.05,0.7,DHSS
mp_OliveraPauljeskic,"Pauljeskic, Olivera (SNS)",1,1.035300244,0.143220362,blue,0.05,0.7,SNS
mp_OliveraPeshic,"Pesic, Olivera (SNS)",1,1.179615361,-0.010551251,blue,0.05,0.7,SNS
mp_PetarPetrovic,"Petrovic, Petar (JS)",1,1.008819257,-0.151561062,darkviolet,0.05,0.7,JS
