normal_x,normal_y,cl_beta0,loss,id,motion:name,included
-9.194360115,-0.16745903,219.6622304,53.90180197,55016f79273a3961a60d23c0,55016f79273a3961a60d23c0,0
8.163869665,-1.001804243,180.0849533,155.3398988,5501701d273a3961a60eb784,5501701d273a3961a60eb784,0
-7.662619908,-2.535754946,-172.695916,672.1118946,55016d34273a3961a60766a4,55016d34273a3961a60766a4,0
9.157362118,-0.256284387,227.244903,484.6865228,55016ed4273a3961a60b8418,55016ed4273a3961a60b8418,0
-3.91303629,-3.965490856,-135.8812697,157.1556501,55016d59273a3961a607c474,55016d59273a3961a607c474,0
-3.586987679,-1.608529426,-139.6604959,119.3173766,55017083273a3961a60fb5b2,55017083273a3961a60fb5b2,0
-8.313758516,1.092413617,199.4975916,37.14887739,5501710f273a3961a61112dc,5501710f273a3961a61112dc,0
-1.959489704,1.276572533,-95.00705224,413.453467,55017232273a3961a613e17a,55017232273a3961a613e17a,0
9.039252892,0.046298016,153.130601,614.2834618,55016faf273a3961a60da790,55016faf273a3961a60da790,0
6.629338005,-0.514953177,240.8170445,733.5745366,55016d6e273a3961a607fd62,55016d6e273a3961a607fd62,0
7.683989915,-0.792307881,179.7656799,1462.186914,55016c01273a3961a6044bec,55016c01273a3961a6044bec,0
-6.737518647,-1.096243361,-243.5291236,1223.324576,55016ed0273a3961a60b7968,55016ed0273a3961a60b7968,0
9.720205738,0.90242609,146.6577117,284.6567947,55016d76273a3961a60812ce,55016d76273a3961a60812ce,0
3.810113447,-1.108664494,155.8384845,504.0967134,5501732f273a3961a616510e,5501732f273a3961a616510e,0
6.156204547,-2.761502286,217.7275249,328.6402043,55017050273a3961a60f38f9,55017050273a3961a60f38f9,0
-6.389186739,-2.394781867,-205.1742514,1136.457901,55016be3273a3961a603ffe8,55016be3273a3961a603ffe8,0
0.713718685,1.998516381,48.34726504,168.7305283,55016f28273a3961a60c5e98,55016f28273a3961a60c5e98,0
0.533972995,0.407575862,23.14260709,83.84978643,55016fe6273a3961a60e2ef4,55016fe6273a3961a60e2ef4,0
0.840085914,0.577240274,37.14522253,280.2274958,55016c94273a3961a605c238,55016c94273a3961a605c238,0
0.162249082,-0.004471983,1.403269341,0,550172b1273a3961a61518b2,550172b1273a3961a61518b2,0
-1.833197499,-1.977944729,-82.29879014,61.84929467,55016f2a273a3961a60c6358,55016f2a273a3961a60c6358,0
2.184310802,0.376166318,92.56437884,231.4598943,550172c1273a3961a6154112,550172c1273a3961a6154112,0
2.178139619,-1.82305522,113.6458272,122.3311261,550171aa273a3961a6129618,550171aa273a3961a6129618,0
-9.184832688,-0.374019838,-158.8823668,0,55016ec5273a3961a60b5ce8,55016ec5273a3961a60b5ce8,0
0.300868294,-0.132913311,15.48409724,5.104385075,55017231273a3961a613df1a,55017231273a3961a613df1a,0
6.89145058,1.446021751,237.353905,1107.628324,55016efc273a3961a60bea38,55016efc273a3961a60bea38,0
-9.92706136,-1.098302551,230.4034105,24.97894284,55016e40273a3961a60a13ec,55016e40273a3961a60a13ec,0
4.551023964,0.111347262,179.5716131,602.751113,55016ee5273a3961a60bb268,55016ee5273a3961a60bb268,0
-8.708578572,-0.266984975,-168.0062517,646.3731663,55016e3a273a3961a60a034c,55016e3a273a3961a60a034c,0
-6.073410719,1.499720966,-207.8857364,687.6801097,5501724e273a3961a61423fa,5501724e273a3961a61423fa,0
0.218436039,0.060521848,10.0486907,19.20156892,5501714b273a3961a611a890,5501714b273a3961a611a890,0
-0.767804647,-0.908110682,-40.25731229,72.24473506,55016e8b273a3961a60acd38,55016e8b273a3961a60acd38,0
